recording_datetime,site_name,arid,offset_seconds,offset_end_seconds,tag,audio_link
20230719T160000+0700,Site-111,1446049,1790.0,1795.0,goshawk,https://api.ecosounds.org/audio_recordings/1446049/media.flac?start_offset=1790.0&end_offset=1795.0
20230723T060000+0700,Site-111,1448683,1470.0,1475.0,goshawk,https://api.ecosounds.org/audio_recordings/1448683/media.flac?start_offset=1470.0&end_offset=1475.0
20230724T060000+0700,Site-119,1466630,110.0,115.0,goshawk,https://api.ecosounds.org/audio_recordings/1466630/media.flac?start_offset=110.0&end_offset=115.0
20230724T100000+0700,Site-111,1445994,3360.0,3365.0,goshawk,https://api.ecosounds.org/audio_recordings/1445994/media.flac?start_offset=3360.0&end_offset=3365.0
20230725T080000+0700,Site-111,1448398,465.0,470.0,goshawk,https://api.ecosounds.org/audio_recordings/1448398/media.flac?start_offset=465.0&end_offset=470.0
20230726T100000+0700,Site-111,1448329,2065.0,2070.0,goshawk,https://api.ecosounds.org/audio_recordings/1448329/media.flac?start_offset=2065.0&end_offset=2070.0
20230726T100000+0700,Site-111,1448329,495.0,500.0,goshawk,https://api.ecosounds.org/audio_recordings/1448329/media.flac?start_offset=495.0&end_offset=500.0
20230726T100000+0700,Site-111,1448329,500.0,505.0,goshawk,https://api.ecosounds.org/audio_recordings/1448329/media.flac?start_offset=500.0&end_offset=505.0
20230726T110000+0700,Site-109,1453059,2860.0,2865.0,goshawk,https://api.ecosounds.org/audio_recordings/1453059/media.flac?start_offset=2860.0&end_offset=2865.0
20230726T170000+0700,Site-111,1444962,2090.0,2095.0,goshawk,https://api.ecosounds.org/audio_recordings/1444962/media.flac?start_offset=2090.0&end_offset=2095.0
20230727T080000+0700,Site-109,1452736,2970.0,2975.0,goshawk,https://api.ecosounds.org/audio_recordings/1452736/media.flac?start_offset=2970.0&end_offset=2975.0
20230727T100000+0700,Site-111,1448339,0.0,5.0,goshawk,https://api.ecosounds.org/audio_recordings/1448339/media.flac?start_offset=0.0&end_offset=5.0
20230727T150000+0700,Site-20,1416683,1160.0,1165.0,goshawk,https://api.ecosounds.org/audio_recordings/1416683/media.flac?start_offset=1160.0&end_offset=1165.0
